,gender,familyname,givenname,picture,email,occupation,birth_date,birth_country,company,street,city,zip,region,region_abbr,country,phone_code,phone,picture_url,picture_thumb,description,picture_url_local,picture_thumb_local,birth_continent,continent
<Matthew_Sleeth_(Christian_environmentalist)>,m,Sleeth,Matthew,Blessedearth port 022.jpg,sleeth@yahoo.ca,statesman,2004-03-28,United States,Agrium,98 rue de la Gare,Sarre-Union,67260,Grand Est,,France,33,521238987,https://upload.wikimedia.org/wikipedia/commons/0/0c/Blessedearth_port_022.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Blessedearth_port_022.jpg/250px-Blessedearth_port_022.jpg,"Matthew Sleeth is an author, speaker, and advocate of creation care. A former emergency department physician, Sleeth wrote his first book, Serve God, Save the Planet (Zondervan), in May 2006. Since then, he has spoken more than 900 times in churches, schools and to media outlets about the biblical mandate to care for the Earth.
In 2008, Sleeth wrote the introduction to The Green Bible (HarperOne) and in 2010 wrote The Gospel According to the Earth: Why the Good Book is a Green Book (HarperOne). His third book, 24/6: A Prescription for a Healthier, Happier Life was released in November 2012 (Tyndale House Publishers). Through his nonprofit, Blessed Earth, Sleeth wrote and released a 12-part creation care DVD series called Serving God, Saving the Planet (Zondervan), with accompanying guidebooks, in 2010.His book ""Reforesting Faith: What Trees Teach Us About the Nature of God and His Love for Us"" is being published by WaterBrook/Penguin Random House April 16,2019.",00009.jpg,00009.jpg,North America,Europe
<Ronald_Ringsrud>,m,Ringsrud,Ronald,RonRingsrud.jpg,ringsrud71@hotmail.com,columnist,1984-09-17,United States,Canada Post,32 Russell Palmer Rd.,Kingwood,77339,Texas,TX,United States,1,1438235766,https://upload.wikimedia.org/wikipedia/en/e/e1/RonRingsrud.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/RonRingsrud.jpg/250px-RonRingsrud.jpg,"Ronald Ringsrud is an emerald dealer and writer of the book Emeralds, A Passionate Guide. This work draws on Ringsurd's decades of work in the emerald industry and includes a foreword written by John Koivula, the Chief Gemologist at GIA.",00010.jpg,00010.jpg,North America,North America
<Abduweli_Ayup>,m,Ayup,Abduweli,Abduweli.profile.png,napebi@ig.com.br,buddhist teacher,1944-12-31,China,Budget Rent a Car,385 S Silverwolf Way,Riverton,84065,Utah,UT,United States,1,1736263359,https://upload.wikimedia.org/wikipedia/commons/7/77/Abduweli.profile.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Abduweli.profile.png/250px-Abduweli.profile.png,"Abduweli Ayup (April 1973) is a western educated linguist and poet who operated Uyghur language schools in Kashgar, Xinjiang, in the northwest part of China. The Uyghur Human Rights Project published his biography in Resisting Chinese Linguistic Imperialism: Abduweli Ayup and the Movement for Uyghur Mother Tongue-Based Education.",00001.png,00001.png,Asia,North America
<Mugambi_Jouet>,m,Jouet,Mugambi,Mugambi Jouet.png,m-jouet@gmail.com,pitchman,1943-02-17,France,Pertamina,43 rue Georges-Bizet,Paris,75001,Île-de-France,,France,33,141975619,https://upload.wikimedia.org/wikipedia/en/9/9e/Mugambi_Jouet.png,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Mugambi_Jouet.png/250px-Mugambi_Jouet.png,"Mugambi Jouet (born c. 1981) is Assistant Professor at McGill University. An author and human rights lawyer, he writes in both English and French about legal, political, and social issues with a focus on American exceptionalism and criminal justice. He has been interviewed on radio and television about how American society compares to France, Canada, and other countries.",00002.png,00002.png,Europe,Europe
<Kevin_Colden>,m,Colden,Kevin,5.21.11KevinColdenByLuigiNovi1.jpg,fesumu@hotmail.com,biologist,1954-09-15,United States,Zoomlion,67 N. Arroyo Blvd.,Nogales,85621,Arizona,AZ,United States,1,5584721671,https://upload.wikimedia.org/wikipedia/commons/0/00/5.21.11KevinColdenByLuigiNovi1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/5.21.11KevinColdenByLuigiNovi1.jpg/250px-5.21.11KevinColdenByLuigiNovi1.jpg,"Kevin Colden is an American comic book writer and artist, as well as a webcomic artist. His work has been published in print by Zuda Comics, IDW Publishing, Image Comics, Alternative Comics, and Top Shelf Productions.
In 2007 Colden received a Xeric Grant to complete his graphic novel Fishtown (2008); the book was nominated for an Eisner Award in 2009.",00011.jpg,00011.jpg,North America,North America
<Lawrence_Manchester>,m,Manchester,Lawrence,Lawrence_Manchester_Profile.jpg,manchester@yahoo.com.ar,artistic manager,1976-08-12,United States,Elitegroup Computer Systems,24 rue Gontier-Patin,Abbeville,80100,Hauts-de-France,,France,33,361384747,https://upload.wikimedia.org/wikipedia/commons/7/79/Lawrence_Manchester_Profile.jpg,https://upload.wikimedia.org/wikipedia/commons/7/79/Lawrence_Manchester_Profile.jpg,"Lawrence Manchester is very in-demand music producer, engineer and mixer based in New York City.   Whether collaborating on viral videos surpassing thirteen billion views, supervising Camila Cabello’s broadcast sound for two landmark Grammy performances, recording a symphony orchestra for Martin Scorsese’s OSCAR-winning masterpiece, The Departed, tracking vocals with Beyoncé, “Slow Jamming The News” with President Obama, or mixing Justin Timberlake and The Roots in 5.1 surround sound to a live TV audience of millions.
Most recently, Lawrence recorded Danny Elfman's score for the highly anticipated film The Woman In The Window (Fox 2020) and served on the principle engineering team for Steven Spielberg’s 2020 remake of West Side Story (Twentieth Century Fox).  Lawrence also served as the Supervising Music Producer/Engineer/Mixer for Richard LaGravenese’s film adaptation of Jason Robert Brown’s musical ''The Last Five Years' (Radius-TWC) starring Anna Kendrick and Jeremy Jordan, of which Variety exclaimed “the film sounds fantastic”.  He also recorded and mixed the Studio Cast Recording of Disney’s The Hunchback of Notre Dame, co-produced the Grammy-nominated Original Cast Album for the Broadway smash Something Rotten!, and served as the Post Audio Mixer for Adele Live in New York City. 
Other notable Broadway cast album recordings include A Bronx Tale, The Prom, Head Over Heels, The Cher Show, Summer: The Donna Summer Musical, Spider-Man: Turn Off The Dark, Pippin, and Kiss Me Kate.  Other notable films include I,Tonya, The Girl On The Train, Godless, True Grit, Noelle, Frida, and Across The Universe. Numerous solo artist credits include albums with Sutton Foster, Kelli O’Hara, Jimmy Scott, Billy Porter, Matthew Morrison, David Sanborn, Dionne Warwick, Michel Legrand, and Bette Midler.
Lawrence is also the music mixer for NBC’s The Tonight Show Starring Jimmy Fallon and co-producer of Fallon’s Grammy-winning comedy album, Blow Your Pants Off. During his eleven years with Jimmy, he’s mixed live performances by Billie Eilish, Ed Sheeran, Meghan Trainor, Prince, Lady Gaga, Beastie Boys, Bruce Springsteen, Paul McCartney, Sting, Metallica, Madonna, Ariana Grande, Green Day, Blake Shelton, Public Enemy, Dave Matthews Band, BTS, Shakira, U2, Foo Fighters, JLo, and The Who.",00012.jpg,00012.jpg,North America,Europe
<Craig_Curtis>,m,Curtis,Craig,Craig Curtis.jpg,binu02@gmail.com,sailor,1953-06-21,United States,Microchip Technology,398 rue de Siam,Brest,29200,Bretagne,,France,33,322282133,https://upload.wikimedia.org/wikipedia/commons/7/7a/Craig_Curtis.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Craig_Curtis.jpg/250px-Craig_Curtis.jpg,,00013.jpg,00013.jpg,North America,Europe
<John_B._Lowery>,m,Lowery,John,Lowerycompanies1.jpg,john.lowery@yahoo.fr,music teacher,1998-05-01,United States,PricewaterhouseCoopers,140 Foxhound Lane,Middleburg,20117,Virginia,VA,United States,1,2819835168,https://upload.wikimedia.org/wikipedia/commons/6/6e/Lowerycompanies1.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Lowerycompanies1.jpg,"John Lowery is the President and CEO of Lowery Companies, LLC. Lowery Companies, LLC is a real estate development and construction company headquartered in Dallas, Texas with regional offices in Atlanta, Georgia and Chattanooga, Tennessee. The company focuses on mixed-use developments with a concentration on healthy living.
He is the founder of Revelation Corporation and RevAmerica Association, which provides financial products and services such as bank accounts (without a credit check), debit card services, direct deposit and insurance products to the under banked community.
Previously, John B. Lowery served as President of Fidelity Bank Holding Company and Chief of Staff to Harold E. Ford, Sr., member of United States House of Representatives.",00014.jpg,00014.jpg,North America,North America
<Khalid_Bin_Mubarak_Al-Shafi>,m,Al-Shafi,Khalid,Dr khalid Al Shafi.jpg,alshafi@verizon.net,buddhist teacher,1963-02-28,Qatar,Southern Wine & Spirits,111 Ellis,Coffeyville,67337,Kansas,KS,United States,1,3559152417,https://upload.wikimedia.org/wikipedia/commons/0/02/Dr_khalid_Al_Shafi.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Dr_khalid_Al_Shafi.jpg/250px-Dr_khalid_Al_Shafi.jpg,"Dr. Khalid bin Mubarak Al Shafi (Arabic: الدكتور خالد بن مبارك آل شافي‎) is a Qatari columnist and the Editor In-chief of The Peninsula, an English daily published from Qatar. He also teaches Media and Communication at Qatar University in the capacity of an Assistant Professor.",00015.jpg,00015.jpg,Asia,North America
<Nadirsyah_Hosen>,m,Hosen,Nadirsyah,Nadirsyah_Hosen.jpeg,nadirsyah-hosen@zoho.com,cultural organization,2014-11-20,Singapore,GPA,131 rue Saint-Lazare,Paris,75001,Île-de-France,,France,33,128551694,https://upload.wikimedia.org/wikipedia/en/0/01/Nadirsyah_Hosen.jpeg,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Nadirsyah_Hosen.jpeg/250px-Nadirsyah_Hosen.jpeg,"Nadirsyah Hosen  is known for his expertise on Shari'a and Indonesian law. He is a former Associate Professor at the School of Law, the University of Wollongong. Since July 2015 he has moved to teach at Monash University Faculty of Law.Hosen completed his first PhD (Law) at the University of Wollongong and a second PhD (Islamic Law) at the National University of Singapore. He then worked for two years as a Postdoctoral Research Fellow at TC. Beirne School of Law, University of Queensland. His articles have been published in various journals such as the Nordic Journal of International Law (Lund University), Asia Pacific Law Review (City University of Hong Kong), Australian Journal of Asian Law (University of Melbourne), European Journal of Law Reform (Indiana University), Asian Journal of Comparative Law (National University of Singapore), Journal of Islamic Studies (Oxford University), and Journal of Southeast Asian Studies (Cambridge University).
In 2012, Oxford University Press published Constitutionalism in Islamic Countries: Between Upheaval and Continuity, edited by leading scholars R. Grote & T. Roder, where he was invited to contribute a chapter on Indonesia: A Presidential System with Checks and Balances. He also contributed a chapter on Indonesian constitutional law in Albert Chen (ed), Constitutionalism in Asia in the Early Twenty-First Century (Cambridge University Press, 2014).Hosen is also a former President of the Indonesia Council for the period 2011-2015. The Indonesia Council is an area-based sub-division of the Asian Studies Association of Australia (ASAA) where all top scholars and researchers on Indonesia are members of the Indonesia Council. Since 2005 he has served  a Muslim community as Rais Syuriah (Chair of Consultative Board) of Nahdlatul Ulama special branch in Australia and New Zealand.
He is the author of Human Rights, Politics and Corruption in Indonesia: A Critical Reflection on the Post Soeharto Era, (Republic of Letters Publishing, Dordrecht, The Netherlands, 2010); Shari'a and Constitutional Reform in Indonesia (Institute of Southeast Asian Studies, Singapore, 2007); a co-editor (with Joseph Liow) of Islam in Southeast Asia, 4 volumes, (Routledge, London, 2010); and a co-editor (with Richard Mohr) of Law and Religion in Public Life: The Contemporary Debate (Routledge, London, 2011). His recent book (co-written with Ann Black and Hossein Esmaeili) is Modern Perspectives on Islamic Law (Edward Elgar, UK, 2013 and 2015)",00001.jpeg,00001.jpeg,Asia,Europe
<Richard_Johnson_(war_artist)>,m,Johnson,Richard,"2012.0041.18. Corporal Alexandre Lanoix in Kandahar, April 2011.jpg",johnson@gmx.de,engineer,1958-11-05,Canada,Sulzer,173 North Main Street,Jacksboro,76458-2214,Texas,TX,United States,1,1835755224,https://upload.wikimedia.org/wikipedia/en/b/b0/2012.0041.18._Corporal_Alexandre_Lanoix_in_Kandahar%2C_April_2011.jpg,https://upload.wikimedia.org/wikipedia/en/b/b0/2012.0041.18._Corporal_Alexandre_Lanoix_in_Kandahar%2C_April_2011.jpg,Richard Johnson (born 1966 in Scotland) is a Canadian journalist and war artist.,00016.jpg,00016.jpg,North America,North America
<Alan_Gura>,m,Gura,Alan,Alan Gura cropped.jpg,balu36@yahoo.it,electrical engineer,1983-04-08,United States,Hyundai Heavy Industries,419 E. Jefferson Rd.,Elfrida,85610,Arizona,AZ,United States,1,3526522256,https://upload.wikimedia.org/wikipedia/commons/0/0f/Alan_Gura_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Alan_Gura_cropped.jpg/250px-Alan_Gura_cropped.jpg,"Alan Gura is an American litigator practicing in the areas of civil litigation, appellate litigation, and civil rights law at Gura P.L.L.C.Gura successfully argued two landmark constitutional cases before the United States Supreme Court, District of Columbia v. Heller and McDonald v. Chicago.
On March 22, 2013, the National Law Journal named Mr. Gura one of ""The 100 Most Influential Lawyers in America.""On July 13, 2009 Legal Times named Gura to the list of “40 Under 40” of Washington D.C.’s rising legal stars.",00017.jpg,00017.jpg,North America,North America
<Tom_Alan_Robbins>,m,Robbins,Tom,,t-robbins@orange.fr,ambassador,1954-06-22,United States,Gruppo Riva,435 rue Michel-Ange,Paris,75001,Île-de-France,,France,33,867254379,,,"Tom Alan Robbins  has performed in eight Broadway shows, including  The Lion King in which he created the role of Pumbaa. Other Broadway Shows: Head Over Heels (Dametas), Newsies,  Sunset Boulevard, Jerome Robbins Broadway, Threepenny Opera,  Once Upon a Mattress,  Is He Dead?. He played Thenardier in the first national tour of Les Misérables.   Off-Broadway: Little Shop of Horrors (2020 revival, Mushnick), Brooklynite, On The Verge (New York Premiere), Isn’t It Romantic (World Premiere), The Cradle Will Rock, The Rise and Rise of Daniel Rocket (World Premiere), Henry V (Public Theatre), King Lear (Cornwall).  Regional: The Whale (Charlie, World Premiere), “Midsummer Nights Dream” (Bottom), Fiddler on the Roof (Tevye), The Producers (Franz). Man of La Mancha (Sancho). My Name is Asher Lev, Taming of the Shrew (Tranio). Encores: 1776, Music in the Air, Pardon My English, Tenderloin/ Training: The Juilliard School, The Acting Company
He has been on television shows including The Good Wife, Seinfeld, NYPD Blue, Law & Order and Baby Talk (As series regular Dr. Elliot Fleisher).
Tom Alan Robbins is also a writer.  His first play, “The Joke the Rabbit Told Me” won the NAAA Playreading competition in London and received a reading at the Tristan Bates Theatre in
the West End. His play, “Muse”, won the 2019 New Works of Merit Playwriting Contest and received a reading at the Playroom Theatre in New York. The Acting Company will be presenting a Zoom Performance of “Muse” this Fall. The Acting Company produced a public reading of ""The Amish Girl's Guide to Armageddon"" on Theatre Row. That play received Honorable Mention in the Mixing It Up 2020 Spring Emerging Playwrights' Contest. He began his writing career as the staff writer for an Off-off-broadway political cabaret called, “Issue? I Don't Even Know You!”. He went on to write for the daytime drama, “Search For Tomorrow” and the sitcom “Coach”. 
Tom graduated from Lehman High School in Canton, Ohio. Tom graduated from The Juilliard School as a member of Group Six.",,,North America,Europe
<Mike_Downes>,m,Downes,Mike,Mike Downes Bassist.jpeg,simu@gmail.com,printer,1955-01-20,Canada,Dollar General,250 Nogales St.,La Puente,91744,California,CA,United States,1,8911417433,https://upload.wikimedia.org/wikipedia/commons/7/7b/Mike_Downes_Bassist.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Mike_Downes_Bassist.jpeg/250px-Mike_Downes_Bassist.jpeg,"Mike Downes is a Canadian jazz musician, composer, arranger and educator who specializes on the upright bass, composition and arranging. Downes has appeared on JUNO award-winning and nominated recordings, including his own ""Ripple Effect,"" which won a 2014 JUNO Award for Traditional Jazz Album of the Year, and ""Root Structure"", which won the 2018 JUNO Award for Jazz Album of the Year:Solo.",00002.jpeg,00002.jpeg,North America,North America
<James_Frere>,m,Frere,James,James Frere 76.jpg,j.frere@sky.com,computer scientist,1992-09-03,England,Kuoni Travel,403 NW 11th St,Fort Lauderdale,33311-5796,Florida,FL,United States,1,4898677366,https://upload.wikimedia.org/wikipedia/commons/0/0d/James_Frere_76.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/James_Frere_76.jpg/250px-James_Frere_76.jpg,James Arnold Frere  (20 April 1920 – 26 November 1994) was an English herald who was officer of arms at the College of Arms in London.,00018.jpg,00018.jpg,Europe,North America
<Edward_M._Shepard>,m,Shepard,Edward,Edward M. Shepard.jpg,e.shepard38@alice.it,satirist,1989-11-28,United States,Hilti,103 N. Hwy 177,Kearny,85137,Arizona,AZ,United States,1,3487185384,https://upload.wikimedia.org/wikipedia/commons/9/92/Edward_M._Shepard.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Edward_M._Shepard.jpg/250px-Edward_M._Shepard.jpg,"Edward Morse Shepard (July 23, 1850 in New York City – July 28, 1911 in Lake George, Warren County, New York) was an American lawyer and politician from New York.",00019.jpg,00019.jpg,North America,North America
<Charles-François_Beautemps-Beaupré>,m,Beautemps-Beaupré,Charles-François,Charles-François Beautemps-Beaupré.jpg,beautempsbeaupre@hotmail.fr,medical pathologist,1940-02-26,France,Ball Corporation,Highway 70 Mile Post 270,San Carlos,85550,Arizona,AZ,United States,1,1652845553,https://upload.wikimedia.org/wikipedia/commons/7/74/Charles-Fran%C3%A7ois_Beautemps-Beaupr%C3%A9.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Charles-Fran%C3%A7ois_Beautemps-Beaupr%C3%A9.jpg/250px-Charles-Fran%C3%A7ois_Beautemps-Beaupr%C3%A9.jpg,"Charles-François Beautemps-Beaupré (6 August 1766 in La Neuville-au-Pont – 16 March 1854 in Paris) was a French hydrographer, hydrographic engineer and cartographer.",00020.jpg,00020.jpg,Europe,North America
<Niels_Nikolaus_Falck>,m,Falck,Niels,Niels Falck.jpg,n.falck@terra.com.br,sailor,1963-10-12,Denmark,Telecom Argentina,153 rue des Acadiens,Nantes,44000,Pays de la Loire,,France,33,617168957,https://upload.wikimedia.org/wikipedia/commons/e/eb/Niels_Falck.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Niels_Falck.jpg/250px-Niels_Falck.jpg,Niels Nikolaus Falck (25 November 1784 – 11 May 1850) was a Danish jurist and historian.,00021.jpg,00021.jpg,Europe,Europe
<Theodore_P._Savas>,m,Savas,Theodore,Theodore P. Savas.jpg,savas@gmail.com,evangelist,1982-03-10,United States,Electrica,224 Rue Jules Roch à Orchies,Orchies,59310,Hauts-de-France,,France,33,926698395,https://upload.wikimedia.org/wikipedia/en/a/a6/Theodore_P._Savas.jpg,https://upload.wikimedia.org/wikipedia/en/a/a6/Theodore_P._Savas.jpg,"Theodore P. Savas is an attorney, former adjunct college instructor, award-winning author, publishing consultant and agent, unabashed racist, and majority partner and managing director of Savas Beatie LLC, a Nevada limited liability company. He specializes in military history in general, and the American Civil War, American Revolutionary War, and WWII German U-boats.",00022.jpg,00022.jpg,North America,Europe
<William_Marriott_(magician)>,m,Marriott,William,William Marriott magician.jpg,fileba4454@yahoo.in,accountant,2008-12-05,United Kingdom,Eastman Chemical Company,111 N Hwy 91,Denison,75020-6899,Texas,TX,United States,1,7433764812,https://upload.wikimedia.org/wikipedia/commons/9/94/William_Marriott_magician.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/William_Marriott_magician.jpg/250px-William_Marriott_magician.jpg,William S. Marriott (ca. 1910) also known as Dr. Wilmar was a British magician who became well known for exposing fraudulent spiritualist mediums.,00023.jpg,00023.jpg,Europe,North America
